date,data,cols
2024-01-01 00:00:00,48.59,Battery
2024-01-01 01:00:00,40.81,Battery
2024-01-01 02:00:00,30.55,Battery
2024-01-01 03:00:00,22.18,Battery
2024-01-01 04:00:00,2.25,Battery
2024-01-01 05:00:00,1.52,Battery
2024-01-01 06:00:00,0.2,Battery
2024-01-01 07:00:00,0.23,Battery
2024-01-01 08:00:00,0.32,Battery
2024-01-01 09:00:00,0.28,Battery
2024-01-01 10:00:00,0.21,Battery
2024-01-01 11:00:00,0.22,Battery
2024-01-01 12:00:00,0.22,Battery
2024-01-01 13:00:00,0.23,Battery
2024-01-01 14:00:00,0.23,Battery
2024-01-01 15:00:00,0.24,Battery
2024-01-01 16:00:00,0.23,Battery
2024-01-01 17:00:00,0.23,Battery
2024-01-01 18:00:00,0.23,Battery
2024-01-01 19:00:00,0.21,Battery
2024-01-01 20:00:00,0.22,Battery
2024-01-01 21:00:00,18.91,Battery
2024-01-01 22:00:00,48.15,Battery
2024-01-01 23:00:00,47.07,Battery
2024-01-02 00:00:00,48.53,Battery
2024-01-02 01:00:00,47.63,Battery
2024-01-02 02:00:00,39.63,Battery
2024-01-02 03:00:00,32.67,Battery
2024-01-02 04:00:00,12.68,Battery
2024-01-02 05:00:00,1.74,Battery
2024-01-02 06:00:00,0.25,Battery
2024-01-02 07:00:00,0.21,Battery
2024-01-02 08:00:00,0.21,Battery
2024-01-02 09:00:00,0.21,Battery
2024-01-02 10:00:00,0.22,Battery
2024-01-02 11:00:00,0.23,Battery
2024-01-02 12:00:00,0.23,Battery
2024-01-02 13:00:00,0.23,Battery
2024-01-02 14:00:00,0.24,Battery
2024-01-02 15:00:00,0.24,Battery
2024-01-02 16:00:00,0.23,Battery
2024-01-02 17:00:00,0.23,Battery
2024-01-02 18:00:00,0.23,Battery
2024-01-02 19:00:00,0.22,Battery
2024-01-02 20:00:00,0.22,Battery
2024-01-02 21:00:00,22.45,Battery
2024-01-02 22:00:00,45.74,Battery
2024-01-02 23:00:00,49.02,Battery
2024-01-03 00:00:00,48.92,Battery
2024-01-03 01:00:00,41.93,Battery
2024-01-03 02:00:00,40.09,Battery
2024-01-03 03:00:00,34.68,Battery
2024-01-03 04:00:00,17.44,Battery
2024-01-03 05:00:00,2.65,Battery
2024-01-03 06:00:00,0.4,Battery
