date,data,cols
2015-01-01,8.48681414397477,Afluente (m3/seg)_daily_avg
2015-01-02,16.998538972075,Afluente (m3/seg)_daily_avg
2015-01-03,0.0,Afluente (m3/seg)_daily_avg
2015-01-04,0.0,Afluente (m3/seg)_daily_avg
2015-01-05,8.51173317810376,Afluente (m3/seg)_daily_avg
2015-01-06,1.81788865931829,Afluente (m3/seg)_daily_avg
2015-01-07,0.389547569853919,Afluente (m3/seg)_daily_avg
2015-01-08,8.52004787332219,Afluente (m3/seg)_daily_avg
2015-01-09,1.80230575695857,Afluente (m3/seg)_daily_avg
2015-01-10,0.0,Afluente (m3/seg)_daily_avg
2015-01-11,0.0,Afluente (m3/seg)_daily_avg
2015-01-12,8.50342265797129,Afluente (m3/seg)_daily_avg
2015-01-13,17.0317810514259,Afluente (m3/seg)_daily_avg
2015-01-14,11.1897670350447,Afluente (m3/seg)_daily_avg
2015-01-15,0.0,Afluente (m3/seg)_daily_avg
2015-01-16,0.0,Afluente (m3/seg)_daily_avg
2015-01-17,0.0,Afluente (m3/seg)_daily_avg
2015-01-18,0.0,Afluente (m3/seg)_daily_avg
2015-01-19,17.0817067961522,Afluente (m3/seg)_daily_avg
2015-01-20,34.263423734181,Afluente (m3/seg)_daily_avg
2015-01-21,17.1817837400778,Afluente (m3/seg)_daily_avg
2015-01-22,17.2152095220318,Afluente (m3/seg)_daily_avg
2015-01-23,8.62014986658458,Afluente (m3/seg)_daily_avg
2015-01-24,8.62851883808886,Afluente (m3/seg)_daily_avg
2015-01-25,8.63689198383697,Afluente (m3/seg)_daily_avg
2015-01-26,14.2393321067938,Afluente (m3/seg)_daily_avg
2015-01-27,21.2924975170065,Afluente (m3/seg)_daily_avg
2015-01-28,12.9794236093461,Afluente (m3/seg)_daily_avg
2015-01-29,0.0,Afluente (m3/seg)_daily_avg
2015-01-30,0.0,Afluente (m3/seg)_daily_avg
2015-01-31,8.48681414397477,Afluente (m3/seg)_daily_avg
2015-02-01,8.49511631410375,Afluente (m3/seg)_daily_avg
2015-02-02,8.50342265797129,Afluente (m3/seg)_daily_avg
2015-02-03,8.51173317810376,Afluente (m3/seg)_daily_avg
2015-02-04,8.52004787332219,Afluente (m3/seg)_daily_avg
2015-02-05,0.0,Afluente (m3/seg)_daily_avg
2015-02-06,0.0,Afluente (m3/seg)_daily_avg
2015-02-07,0.0,Afluente (m3/seg)_daily_avg
2015-02-08,0.0,Afluente (m3/seg)_daily_avg
2015-02-09,8.51173317810376,Afluente (m3/seg)_daily_avg
2015-02-10,0.0,Afluente (m3/seg)_daily_avg
2015-02-11,0.0,Afluente (m3/seg)_daily_avg
2015-02-12,0.0,Afluente (m3/seg)_daily_avg
2015-02-13,0.0,Afluente (m3/seg)_daily_avg
2015-02-14,0.0,Afluente (m3/seg)_daily_avg
2015-02-15,0.0,Afluente (m3/seg)_daily_avg
2015-02-16,0.0,Afluente (m3/seg)_daily_avg
2015-02-17,0.0,Afluente (m3/seg)_daily_avg
2015-02-18,0.0,Afluente (m3/seg)_daily_avg
2015-02-19,0.0,Afluente (m3/seg)_daily_avg
2015-02-20,0.0,Afluente (m3/seg)_daily_avg
2015-02-21,0.0,Afluente (m3/seg)_daily_avg
2015-02-22,0.0,Afluente (m3/seg)_daily_avg
2015-02-23,8.48681414397477,Afluente (m3/seg)_daily_avg
2015-02-24,16.998538972075,Afluente (m3/seg)_daily_avg
2015-02-25,8.51173317810376,Afluente (m3/seg)_daily_avg
2015-02-26,8.52004787332219,Afluente (m3/seg)_daily_avg
2015-02-27,8.5283667431213,Afluente (m3/seg)_daily_avg
2015-02-28,8.53668978800636,Afluente (m3/seg)_daily_avg
2015-03-01,17.0983654110117,Afluente (m3/seg)_daily_avg
2015-03-02,27.1861111499849,Afluente (m3/seg)_daily_avg
2015-03-03,39.1957414310759,Afluente (m3/seg)_daily_avg
2015-03-04,5.6296539895436,Afluente (m3/seg)_daily_avg
2015-03-05,3.80504087232272,Afluente (m3/seg)_daily_avg
2015-03-06,0.0,Afluente (m3/seg)_daily_avg
2015-03-07,6.52532594119605,Afluente (m3/seg)_daily_avg
2015-03-08,8.2478673802042,Afluente (m3/seg)_daily_avg
2015-03-09,1.76493084022479,Afluente (m3/seg)_daily_avg
2015-03-10,0.0,Afluente (m3/seg)_daily_avg
2015-03-11,0.0,Afluente (m3/seg)_daily_avg
2015-03-12,21.0058656261689,Afluente (m3/seg)_daily_avg
2015-03-13,0.0,Afluente (m3/seg)_daily_avg
2015-03-14,7.74879355453272,Afluente (m3/seg)_daily_avg
2015-03-15,15.5213579982619,Afluente (m3/seg)_daily_avg
2015-03-16,14.9923666665729,Afluente (m3/seg)_daily_avg
2015-03-17,22.9371152926493,Afluente (m3/seg)_daily_avg
2015-03-18,7.08412264641603,Afluente (m3/seg)_daily_avg
2015-03-19,0.0,Afluente (m3/seg)_daily_avg
2015-03-20,0.0,Afluente (m3/seg)_daily_avg
2015-03-21,7.4043483964993,Afluente (m3/seg)_daily_avg
2015-03-22,14.8319165724489,Afluente (m3/seg)_daily_avg
2015-03-23,7.851351427640709,Afluente (m3/seg)_daily_avg
2015-03-24,19.6925583151984,Afluente (m3/seg)_daily_avg
2015-03-25,7.36260597367296,Afluente (m3/seg)_daily_avg
2015-03-26,19.2957503689989,Afluente (m3/seg)_daily_avg
2015-03-27,27.4734565523982,Afluente (m3/seg)_daily_avg
2015-03-28,28.3736882279527,Afluente (m3/seg)_daily_avg
2015-03-29,64.0205253937522,Afluente (m3/seg)_daily_avg
2015-03-30,53.5763047662292,Afluente (m3/seg)_daily_avg
2015-03-31,23.3407036936353,Afluente (m3/seg)_daily_avg
2015-04-01,13.6986358352433,Afluente (m3/seg)_daily_avg
2015-04-02,21.5729732107581,Afluente (m3/seg)_daily_avg
2015-04-03,35.2644660637856,Afluente (m3/seg)_daily_avg
2015-04-04,49.687672329768,Afluente (m3/seg)_daily_avg
2015-04-05,42.8851573870075,Afluente (m3/seg)_daily_avg
2015-04-06,27.0400625714453,Afluente (m3/seg)_daily_avg
2015-04-07,0.0,Afluente (m3/seg)_daily_avg
2015-04-08,14.7610999933714,Afluente (m3/seg)_daily_avg
2015-04-09,0.0,Afluente (m3/seg)_daily_avg
2015-04-10,0.0,Afluente (m3/seg)_daily_avg
2015-04-11,29.3338907595138,Afluente (m3/seg)_daily_avg
2015-04-12,33.873660287005,Afluente (m3/seg)_daily_avg
2015-04-13,28.2529747568262,Afluente (m3/seg)_daily_avg
2015-04-14,49.3068890722626,Afluente (m3/seg)_daily_avg
2015-04-15,27.5775780318177,Afluente (m3/seg)_daily_avg
2015-04-16,10.4260034866499,Afluente (m3/seg)_daily_avg
2015-04-17,0.0,Afluente (m3/seg)_daily_avg
2015-04-18,30.9983818282002,Afluente (m3/seg)_daily_avg
2015-04-19,27.4714121626473,Afluente (m3/seg)_daily_avg
2015-04-20,20.1484253708352,Afluente (m3/seg)_daily_avg
2015-04-21,35.477800071289,Afluente (m3/seg)_daily_avg
2015-04-22,0.0,Afluente (m3/seg)_daily_avg
2015-04-23,19.911612326228,Afluente (m3/seg)_daily_avg
2015-04-24,20.3058699924027,Afluente (m3/seg)_daily_avg
2015-04-25,48.3843602606376,Afluente (m3/seg)_daily_avg
2015-04-26,56.9986035098659,Afluente (m3/seg)_daily_avg
2015-04-27,43.5706598083253,Afluente (m3/seg)_daily_avg
2015-04-28,19.1055587968055,Afluente (m3/seg)_daily_avg
2015-04-29,0.49356391992913,Afluente (m3/seg)_daily_avg
2015-04-30,0.0,Afluente (m3/seg)_daily_avg
2015-05-01,40.9584198799469,Afluente (m3/seg)_daily_avg
2015-05-02,65.0430975821547,Afluente (m3/seg)_daily_avg
2015-05-03,59.85525064337099,Afluente (m3/seg)_daily_avg
2015-05-04,64.0081175628388,Afluente (m3/seg)_daily_avg
2015-05-05,67.4128588459805,Afluente (m3/seg)_daily_avg
2015-05-06,55.7890659879208,Afluente (m3/seg)_daily_avg
2015-05-07,50.0712657518913,Afluente (m3/seg)_daily_avg
2015-05-08,36.1978268104196,Afluente (m3/seg)_daily_avg
2015-05-09,43.8868318346303,Afluente (m3/seg)_daily_avg
2015-05-10,63.30037224702041,Afluente (m3/seg)_daily_avg
2015-05-11,0.915240989980475,Afluente (m3/seg)_daily_avg
2015-05-12,0.0,Afluente (m3/seg)_daily_avg
2015-05-13,0.0,Afluente (m3/seg)_daily_avg
2015-05-14,46.4542970044696,Afluente (m3/seg)_daily_avg
2015-05-15,61.6102115503389,Afluente (m3/seg)_daily_avg
2015-05-16,59.3712735541077,Afluente (m3/seg)_daily_avg
2015-05-17,53.0860574386571,Afluente (m3/seg)_daily_avg
2015-05-18,54.3625608781553,Afluente (m3/seg)_daily_avg
2015-05-19,43.6090375489064,Afluente (m3/seg)_daily_avg
2015-05-20,35.2482049097003,Afluente (m3/seg)_daily_avg
2015-05-21,61.2493150192171,Afluente (m3/seg)_daily_avg
2015-05-22,137.229969221961,Afluente (m3/seg)_daily_avg
2015-05-23,108.400904167849,Afluente (m3/seg)_daily_avg
2015-05-24,98.0111958651487,Afluente (m3/seg)_daily_avg
2015-05-25,56.0388045688707,Afluente (m3/seg)_daily_avg
2015-05-26,0.0,Afluente (m3/seg)_daily_avg
2015-05-27,0.0,Afluente (m3/seg)_daily_avg
2015-05-28,53.8879369123145,Afluente (m3/seg)_daily_avg
2015-05-29,109.311211751221,Afluente (m3/seg)_daily_avg
2015-05-30,125.333796090588,Afluente (m3/seg)_daily_avg
2015-05-31,97.4375504746939,Afluente (m3/seg)_daily_avg
2015-06-01,116.924047277858,Afluente (m3/seg)_daily_avg
2015-06-02,101.213512955167,Afluente (m3/seg)_daily_avg
2015-06-03,127.889137008879,Afluente (m3/seg)_daily_avg
2015-06-04,108.891068799763,Afluente (m3/seg)_daily_avg
2015-06-05,76.6171990061826,Afluente (m3/seg)_daily_avg
2015-06-06,125.548259668365,Afluente (m3/seg)_daily_avg
2015-06-07,92.1883342519814,Afluente (m3/seg)_daily_avg
2015-06-08,36.8451575554662,Afluente (m3/seg)_daily_avg
2015-06-09,47.6438692506848,Afluente (m3/seg)_daily_avg
2015-06-10,86.7180540241749,Afluente (m3/seg)_daily_avg
2015-06-11,38.1609079409211,Afluente (m3/seg)_daily_avg
2015-06-12,19.1018851901744,Afluente (m3/seg)_daily_avg
2015-06-13,72.1834692356905,Afluente (m3/seg)_daily_avg
2015-06-14,68.8486698085926,Afluente (m3/seg)_daily_avg
2015-06-15,19.0981302620618,Afluente (m3/seg)_daily_avg
2015-06-16,0.0,Afluente (m3/seg)_daily_avg
2015-06-17,58.4278058701744,Afluente (m3/seg)_daily_avg
2015-06-18,72.0390386027339,Afluente (m3/seg)_daily_avg
2015-06-19,86.9823175636996,Afluente (m3/seg)_daily_avg
2015-06-20,74.3432236287878,Afluente (m3/seg)_daily_avg
2015-06-21,69.0432564718961,Afluente (m3/seg)_daily_avg
2015-06-22,76.3033305389837,Afluente (m3/seg)_daily_avg
2015-06-23,69.4121757197554,Afluente (m3/seg)_daily_avg
2015-06-24,35.3015059699945,Afluente (m3/seg)_daily_avg
2015-06-25,52.9630216145556,Afluente (m3/seg)_daily_avg
2015-06-26,32.4413950849261,Afluente (m3/seg)_daily_avg
2015-06-27,60.54975165837021,Afluente (m3/seg)_daily_avg
2015-06-28,64.8075397085719,Afluente (m3/seg)_daily_avg
2015-06-29,65.5317098608908,Afluente (m3/seg)_daily_avg
2015-06-30,66.2600550843443,Afluente (m3/seg)_daily_avg
2015-07-01,0.0,Afluente (m3/seg)_daily_avg
2015-07-02,51.1092003475904,Afluente (m3/seg)_daily_avg
2015-07-03,64.6632066871933,Afluente (m3/seg)_daily_avg
2015-07-04,65.3865418241737,Afluente (m3/seg)_daily_avg
2015-07-05,79.4245310725341,Afluente (m3/seg)_daily_avg
2015-07-06,87.2338136234787,Afluente (m3/seg)_daily_avg
2015-07-07,95.3390915164905,Afluente (m3/seg)_daily_avg
2015-07-08,71.5028419424131,Afluente (m3/seg)_daily_avg
2015-07-09,77.668142530651,Afluente (m3/seg)_daily_avg
2015-07-10,90.9050572546996,Afluente (m3/seg)_daily_avg
2015-07-11,99.3227238657508,Afluente (m3/seg)_daily_avg
2015-07-12,217.862849043892,Afluente (m3/seg)_daily_avg
2015-07-13,339.860096838088,Afluente (m3/seg)_daily_avg
2015-07-14,179.867724595405,Afluente (m3/seg)_daily_avg
2015-07-15,73.9889296484806,Afluente (m3/seg)_daily_avg
2015-07-16,64.85872155172,Afluente (m3/seg)_daily_avg
2015-07-17,57.80884789666069,Afluente (m3/seg)_daily_avg
2015-07-18,81.0728964160143,Afluente (m3/seg)_daily_avg
2015-07-19,61.56110786547859,Afluente (m3/seg)_daily_avg
2015-07-20,94.8377903524617,Afluente (m3/seg)_daily_avg
2015-07-21,62.1966432184315,Afluente (m3/seg)_daily_avg
2015-07-22,42.8083917922168,Afluente (m3/seg)_daily_avg
2015-07-23,85.7705402279828,Afluente (m3/seg)_daily_avg
2015-07-24,86.8680553826885,Afluente (m3/seg)_daily_avg
2015-07-25,69.3588206380994,Afluente (m3/seg)_daily_avg
2015-07-26,86.275200819064,Afluente (m3/seg)_daily_avg
2015-07-27,88.8989042195371,Afluente (m3/seg)_daily_avg
2015-07-28,97.5689550219377,Afluente (m3/seg)_daily_avg
2015-07-29,106.552098083773,Afluente (m3/seg)_daily_avg
2015-07-30,108.095855308016,Afluente (m3/seg)_daily_avg
2015-07-31,165.063388625034,Afluente (m3/seg)_daily_avg
2015-08-01,191.569318566675,Afluente (m3/seg)_daily_avg
2015-08-02,161.645356596923,Afluente (m3/seg)_daily_avg
2015-08-03,241.594892932382,Afluente (m3/seg)_daily_avg
2015-08-04,166.100546391174,Afluente (m3/seg)_daily_avg
2015-08-05,127.934249040623,Afluente (m3/seg)_daily_avg
2015-08-06,378.741924768158,Afluente (m3/seg)_daily_avg
2015-08-07,1476.52573237714,Afluente (m3/seg)_daily_avg
2015-08-08,860.993869509688,Afluente (m3/seg)_daily_avg
2015-08-09,676.074747253978,Afluente (m3/seg)_daily_avg
2015-08-10,589.457749346948,Afluente (m3/seg)_daily_avg
2015-08-11,430.19952600238,Afluente (m3/seg)_daily_avg
2015-08-12,394.4864809519431,Afluente (m3/seg)_daily_avg
2015-08-13,304.928352570538,Afluente (m3/seg)_daily_avg
2015-08-14,220.800056859471,Afluente (m3/seg)_daily_avg
2015-08-15,188.96613498482,Afluente (m3/seg)_daily_avg
2015-08-16,209.159597867287,Afluente (m3/seg)_daily_avg
2015-08-17,198.979233267,Afluente (m3/seg)_daily_avg
2015-08-18,185.888009665335,Afluente (m3/seg)_daily_avg
2015-08-19,207.325628871168,Afluente (m3/seg)_daily_avg
